입국자국가,국가코드,입국날짜,입국자수
미  국,275,202001,67255
미  국,275,202002,42439
미  국,275,202003,10570
미  국,275,202004,6417
미  국,275,202005,8735
미  국,275,202006,9717
미  국,275,202007,11922
미  국,275,202008,13368
미  국,275,202009,12426
미  국,275,202010,12366
미  국,275,202011,13100
미  국,275,202012,12102
미  국,275,202101,12013
미  국,275,202102,11212
미  국,275,202103,12321
미  국,275,202104,12944
미  국,275,202105,17278
미  국,275,202106,18159
미  국,275,202107,21775
미  국,275,202108,20561
미  국,275,202109,19227
미  국,275,202110,21607
미  국,275,202111,20123
미  국,275,202112,16805
