입국자국가,국가코드,입국날짜,입국자수
일  본,130,202001,203969
일  본,130,202002,211199
일  본,130,202003,8347
일  본,130,202004,360
일  본,130,202005,413
일  본,130,202006,498
일  본,130,202007,755
일  본,130,202008,1275
일  본,130,202009,794
일  본,130,202010,927
일  본,130,202011,1254
일  본,130,202012,951
일  본,130,202101,1299
일  본,130,202102,1719
일  본,130,202103,949
일  본,130,202104,872
일  본,130,202105,1403
일  본,130,202106,875
일  본,130,202107,881
일  본,130,202108,2258
일  본,130,202109,1142
일  본,130,202110,1237
일  본,130,202111,1623
일  본,130,202112,1007
